What is your professional background?;;;;;;;How often are such informal diagrams used for the following purposes?;;;;;How often do you use informal models in the following phases of development?;;;;;;How are informal models typically recorded? Assess how often informal models are recorded in the following ways in your department.;;;;What types of diagrams / models are typically involved (e.g. state diagrams, activity diagrams, ...);;;;;;;;Which of the following statements regarding the (re)use of informal models do you agree with?;;;;;;;
Mechanical Engineering;Electrical Engineering;Informatics;Cybernetics;Mechatronics;Business Management;Other;Communication;Documentation;Design of Digital Twins;Requirements Analysis of Digital Twins ;Further;Conception: Profile and requirements analysis;Development: prototyping, designing and analyzing the CPS, testing design decisions.;Production: monitoring of production, tracking of production steps;Utilization and support: collecting information on current and historical system status during operation, predictive maintenance;Retirement: Knowledge transfer for future systems Generations;In what other phases (not mentioned above) do you use informal models? (Separate different purposes with commas.);The informal models are created digitally (e.g. in PowerPoint) and stored in this form.;The informal models are photographed and the photos are saved.;The informal models are manually transferred to a suitable tool (e.g. Enterprise Architect) and stored in this form.;The informal models remain on the whiteboard/chalkboard/flipchart.;CAD/3D Models;E/E architecture models;State diagrams;Activity diagrams;Database(scheme);(Business) process model;Development (process) model;Other;The informal artifacts were not reused because they were not persisted.;The informal artifacts were not reused, although you were recorded.;The photographs of informal artifacts were reused at a later date.;Photographs of informal artifacts were saved but no longer consulted.;Manual transfer of the informal models was time consuming.;Manual transfer of informal models was useful for later work.;The informal models held were difficult to access/find.;Further Problems
Yes;No;Yes;No;Yes;No;;rather often;rather often;rather often;rather often;;rather often;rather often;rather rarely;rather rarely;rather often;;rather often;rather rarely;rather often;not at all;No;No;No;Yes;No;Yes;Yes;;rather not agree;rather not agree;rather agree;rather agree;rather agree;rather agree;rather not agree;
No;Yes;Yes;No;No;No;;rather often;very often;rather rarely;rather often;;very often;rather often;not at all;rarely;rather often;;rather often;very often;rather often;rather rarely;No;Yes;No;Yes;Yes;No;Yes;;rather agree;rather agree;rather agree;disagree at all;agree at all;rather agree;rather agree;Versioning
No;Yes;No;No;No;No;Industrial Engineering;rather often;rather often;rather rarely;rather rarely;Develop methods for continuous improvement, updates;very often;very often;rather rarely;rather often;rather rarely;;very often;rather rarely;very often;rather rarely;No;Yes;No;Yes;No;Yes;No;;rather not agree;rather not agree;rather agree;rather agree;rather agree;rather agree;rather not agree;
No;No;Yes;No;No;No;Physics;very often;very often;very often;very often;;rather often;;;;;;very often;rather rarely;rather rarely;rather often;No;No;No;Yes;No;No;No;;No answer;disagree at all;rather agree;rather not agree;rather not agree;rather agree;disagree at all;
No;Yes;No;No;No;Yes;;rather often;very often;rather often;very often;;rather often;rather often;rather often;rather rarely;rather rarely;;very often;very often;rather often;very often;No;No;No;Yes;No;Yes;Yes;;agree at all;rather agree;rather not agree;rather agree;rather agree;agree at all;rather agree;
No;Yes;Yes;No;No;No;;very often;very often;;;;very often;very often;very often;very often;very often;;very often;;rather rarely;;No;No;Yes;Yes;Yes;Yes;Yes;;rather not agree;rather not agree;;;rather not agree;agree at all;rather not agree;
No;No;Yes;No;No;No;;very often;rather often;rather often;very often;;rather often;rather often;rarely;rarely;not at all;;rather rarely;very often;rarely;rarely;No;No;Yes;No;Yes;No;No;;disagree at all;disagree at all;agree at all;disagree at all;rather not agree;rather agree;rather not agree;
No;No;Yes;No;No;No;;very often;very often;very often;very often;;;;;;;;;;;;No;No;No;No;No;No;No;;;;;;;;;
No;No;Yes;No;No;No;;very often;very often;very often;very often;;very often;very often;rather often;rather rarely;rather rarely;;very often;rather rarely;very often;very often;No;Yes;No;Yes;No;No;No;;disagree at all;disagree at all;rather agree;rather not agree;rather agree;rather agree;disagree at all;
No;Yes;Yes;No;No;No;;very often;very often;very often;very often;;very often;very often;very often;very often;very often;;very often;not at all;rather rarely;very often;No;No;Yes;Yes;Yes;No;No;;rather agree;rather agree;disagree at all;agree at all;agree at all;rather agree;rather agree;
